precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9865682093067668,0.9875740776142229,0.9870708872046366,0.002776352320425269,0.9990928600953941,0,rf,91692
0.9861049706309607,0.9949021856878864,0.990484044915308,0.0028947749312490953,0.9985458725147128,1,rf,91692
0.9855556957234767,0.9956668578347033,0.9905854756395219,0.003013197542072922,0.9985300611169656,2,rf,91692
0.9872101285446676,0.9738737016504174,0.9804965676525309,0.0026052974381241857,0.9987284278149643,3,rf,91692
0.9857243005544579,0.9855986745682789,0.9856614835585011,0.0029474072027263517,0.9991453087425252,4,rf,91692
0.9859137135998989,0.9945835722933792,0.9902296662860043,0.0029342491348570377,0.9986545236272284,5,rf,91692
0.9846369804257974,0.8045625438093418,0.8855379436106046,0.0025921393702548717,0.994175443707082,6,rf,91692
0.9869443383008534,0.9875103549353215,0.9872272654881351,0.0026974039132093845,0.9988210097010275,7,rf,91692
0.9853590811561277,0.9949659083667878,0.9901391927454897,0.003052671745680864,0.9989458319137767,8,rf,91692
0.9848245959795033,0.9552666794112025,0.9698204754973314,0.00303951367781155,0.9981719948997676,9,rf,91692
0.985672915714068,0.8241891289109794,0.8977268783619643,0.0024737167594310453,0.9988557792644257,10,rf,91692
0.9833322850493742,0.9962403619448161,0.9897442390478602,0.0034868879853682286,0.9980179156271065,11,rf,91692
0.9859799713876967,0.8783534059771873,0.929060088295757,0.0025789813023855577,0.9981695708907057,12,rf,91692
0.9844255069056714,0.8538838972790416,0.914519706534721,0.002789510388294583,0.9989771884958925,13,rf,91692
0.9871050111714013,0.9853437838526732,0.9862236111996938,0.002657929709601442,0.9896780256678781,14,rf,91692
